season,episode,title,link,
03,01,low code & no code – nur ein Trend oder die Lösung?,https://player.captivate.fm/episode/8b1b3136-541e-4289-9b56-151228dad87f,
03,02,Daniel & Marc – DevOps @ Scale – jetzt übernimmt Platform Engineering,https://player.captivate.fm/episode/2f1e0b99-568c-4b8e-92fd-b4daf0a5bcaa,
03,03,Event & Message driven – the world is asynchron,https://player.captivate.fm/episode/2f1e0b99-568c-4b8e-92fd-b4daf0a5bcaa,
03,04,DevSecOps – wie lebt man eigentlich den Sec Teil,https://player.captivate.fm/episode/735b3bf1-720e-4a39-bb64-1f5758275b06,
